person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
0.3,0.0835539000135299,0.032258064516129,0.0,0.1594202898550724,0.0,0.0,0.056338028169014,0.0,0.2857142857142857,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0399999999999999,0.0803849276146664,0.1935483870967742,0.0,0.5652173913043479,0.1240263630916717,0.0,0.1830985915492958,0.0,0.0714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0399999999999999,0.0169631984846434,0.1935483870967742,0.0,0.2717391304347826,0.1485919712402637,0.0,0.352112676056338,0.0,0.0714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0399999999999999,0.027797743877689,0.0967741935483871,0.3333333333333333,0.1884057971014492,0.4445775913720792,0.0,0.1690140845070422,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0196057705317277,0.0967741935483871,0.5,0.217391304347826,0.5937687237866988,0.0,0.2535211267605634,1.0,0.0714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0799999999999999,0.0143206264375591,0.1290322580645161,0.1666666666666666,0.0434782608695652,0.3097663271420012,0.0,0.0845070422535211,0.0,0.0357142857142857,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.06,0.0248888005682586,0.2258064516129032,0.3333333333333333,0.217391304347826,0.5350509286998203,0.0,0.2112676056338028,0.0,0.0714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1799999999999999,0.0161175754295765,0.0,0.3333333333333333,0.3913043478260869,0.530257639304973,0.0,0.5070422535211268,1.0,0.2142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.1999999999999999,0.0518451495061561,0.3548387096774194,0.8333333333333333,0.2753623188405797,0.3337327741162373,0.0,0.1267605633802817,0.0,0.2499999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0999999999999999,0.0645294953321607,0.064516129032258,0.5,0.5478260869565218,0.6339125224685441,0.0,0.2112676056338028,1.0,0.0714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
