person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
0.07999999999999996,0.032818630767149234,0.0,0.3333333333333333,0.1717391304347826,0.49730377471539855,0.0,0.1267605633802817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.26,0.019491611419293734,0.06451612903225806,0.5,0.2753623188405797,0.33373277411623736,1.0,0.3098591549295775,0.0,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.52,0.0497310918684887,0.0,0.3333333333333333,0.42028985507246375,0.46734571599760344,0.0,0.21126760563380284,1.0,0.5357142857142857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.09999999999999998,0.030926549181436884,0.03225806451612903,0.16666666666666666,0.10144927536231883,0.4050329538645896,0.0,0.08450704225352113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.07999999999999996,0.046031491002570694,0.22580645161290322,0.16666666666666666,0.42028985507246375,0.4355901737567406,0.0,0.22535211267605637,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.019999999999999962,0.000896360438370992,0.12903225806451613,0.5,0.043478260869565216,0.6333133612941882,1.0,0.29577464788732394,0.0,0.03571428571428571,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.17999999999999994,0.05030664406034366,0.06451612903225806,0.0,0.18840579710144925,0.33373277411623736,0.0,0.09859154929577467,0.0,0.24999999999999997,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.24,0.10274108713299959,0.29032258064516125,0.5,0.7101449275362319,0.5494307968843619,1.0,0.15492957746478875,0.0,0.17857142857142858,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.28,0.029119029901231226,0.16129032258064516,1.0,0.5797101449275363,0.927501497902936,1.0,0.46478873239436624,1.0,0.21428571428571427,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.17999999999999994,0.026823163306724393,0.0,0.16666666666666666,0.21739130434782605,0.34272019173157586,0.0,0.19718309859154934,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
